"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"比","bǐ","","2","Belgium","Belgian, (particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio, to associate with, to be near, abbr. for 比利時|比利时[Bi3 li4 shi2], euphemistic variant of 屄[bi1]","","","ㄅㄧˇ"
"要","yào","","2","to demand","to request, to coerce, important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if","","","ㄧㄠˋ"
"長","cháng","","2","length","long, forever, always, constantly, chief, head, elder, to grow, to develop, to increase, to enhance","","","ㄔㄤˊ"
"新","xīn","","2","new","newly, meso- (chemistry), abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1], surname Xin","","","ㄒㄧㄣ"
"樣","yàng","","2","manner","pattern, way, appearance, shape, classifier: kind, type","一樣","yīyàng","ㄧ　ㄧㄤˋ"
"一樣","yīyàng","","2","same","like, equal to, the same as, just like","","","ㄧ　ㄧㄤˋ"
"吃","chī","","2","variant of 吃[chi1]","","好吃","hǎochī","ㄏㄠˇ　ㄔ"
"好吃","hǎochī","","2","tasty","delicious, to be fond of eating, to be gluttonous","","","ㄏㄠˇ　ㄔ"
"件","jiàn","","2","item","component, classifier for events, things, clothes etc","","","ㄐㄧㄢˋ"
"杯","bēi","","2","trophy cup","classifier for certain containers of liquids: glass, cup, variant of 杯[bei1]","","","ㄅㄟ"
"瓶","píng","","2","variant of 瓶[ping2]","","","","ㄆㄧㄥˊ"
"菜","cài","","2","dish (type of food)","vegetable, cuisine, (coll.) (one's) type, (of one's skills etc) weak, poor, CL:盤|盘[pan2],道[dao4]","","","ㄘㄞˋ"
"蘋","píng","pín","2","apple","marsiliaceae, clover fern","蘋果","píngguǒ","ㄆㄧㄥˊ　ㄍㄨㄛˇ"
"果","guǒ","","2","fruit","variant of 果[guo3]","蘋果","píngguǒ","ㄆㄧㄥˊ　ㄍㄨㄛˇ"
"蘋果","píngguǒ","","2","apple","CL:個|个[ge4],顆|颗[ke1]","","","ㄆㄧㄥˊ　ㄍㄨㄛˇ"
"肉","ròu","","2","meat","flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute","","","ㄖㄡˋ"
"酒","jiǔ","","2","wine (esp. rice wine)","liquor, spirits, alcoholic beverage, CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]","","","ㄐㄧㄡˇ"
"喝","hē","","2","to drink","My goodness!, to shout loudly","","","ㄏㄜ"
"少","shǎo","","2","few","less, to lack, to be missing, to stop (doing sth), seldom, young","","","ㄕㄠˇ"
"多","duō","","2","many","much, often, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr. [duo2] when it means ""how""","","","ㄉㄨㄛ"
"一起","yīqǐ","","2","in the same place","together, with, altogether (in total)","","","ㄧ　ㄑㄧˇ"
"因","yīn","","2","cause","reason, because, old variant of 因[yin1]","因為","yīnwèi","ㄧㄣ　ㄨㄟˋ"
"因為","yīnwèi","","2","because","owing to, on account of","","","ㄧㄣ　ㄨㄟˋ"
"和","hé","","2","harmonious","old variant of 和[he2]","","","ㄏㄜˊ"
"所","suǒ","","2","actually","place, classifier for houses, small buildings, institutions etc, that which, particle introducing a relative clause or passive, CL:個|个[ge4]","所以","suǒyǐ","ㄙㄨㄛˇ　ㄧˇ"
"以","yǐ","","2","to use","by means of, according to, in order to, because of, at (a certain date or place), old variant of 以[yi3], abbr. for Israel 以色列[Yi3 se4 lie4]","所以","suǒyǐ","ㄙㄨㄛˇ　ㄧˇ"
"所以","suǒyǐ","","2","therefore","as a result, so, the reason why","","","ㄙㄨㄛˇ　ㄧˇ"
"跟","gēn","","2","heel","to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)","","","ㄍㄣ"
"著","zhe","","2","(chess) move","trick, all right!, (dialect) to add, to touch, to come in contact with, to feel, to be affected by, to catch fire, to burn, (coll.) to fall asleep, (after a verb) hitting the mark, succeeding in, aspect particle indicating action in progress, to wear (clothes), to contact, to use, to apply, to make known, to show, to prove, to write, book, outstanding","","","˙ㄓㄜ"
"可","kě","kè","2","can","may, able to, to approve, to permit, to suit, (particle used for emphasis) certainly, very, see 可汗[ke4 han2]","可能","kěnéng","ㄎㄜˇ　ㄋㄥˊ"
"能","néng","","2","can","to be able to, might possibly, ability, (physics) energy, surname Neng","可能","kěnéng","ㄎㄜˇ　ㄋㄥˊ"
"可能","kěnéng","","2","might (happen)","possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]","","","ㄎㄜˇ　ㄋㄥˊ"
